"bx","by","V","BV","VR","BR","galaxy_name","host_galaxy_group_type","host_galaxy_mass","galcen_radius","90percent"
2218.71,3232.8,22.926,0.776,0.482,1.258,"NGC7457","S0",10.6,0.731737,1
1339.97,3259.33,23.81,0.675,0.593,1.268,"NGC7457","S0",10.6,1.47421,0
2657.05,3294.58,23.913,0.933,0.562,1.495,"NGC7457","S0",10.6,1.74242,0
1807.08,3300.5,23.899,0.704,0.523,1.227,"NGC7457","S0",10.6,0.599799,0
2318.44,3312.32,23.263,0.8,0.542,1.342,"NGC7457","S0",10.6,1.02749,0
2191.77,3318.77,24.727,0.732,0.672,1.404,"NGC7457","S0",10.6,0.799458,0
3490.02,3336.54,21.755,0.664,0.43,1.094,"NGC7457","S0",10.6,3.67174,1
2287.87,3346.36,23.589,0.796,0.596,1.392,"NGC7457","S0",10.6,1.01332,0
2925.06,3345.12,24.369,0.691,0.422,1.113,"NGC7457","S0",10.6,2.37943,0
1813.7,3359.79,22.081,0.657,0.482,1.139,"NGC7457","S0",10.6,0.714258,1
2523.07,3365.25,22.029,0.77,0.488,1.258,"NGC7457","S0",10.6,1.50861,1
2796.79,3368.46,23.063,0.646,0.378,1.024,"NGC7457","S0",10.6,2.10696,1
2014.49,3369.2,21.799,0.69,0.46,1.15,"NGC7457","S0",10.6,0.687847,1
2952.59,3385.93,23.196,0.672,0.416,1.088,"NGC7457","S0",10.6,2.46759,0
2293.15,3392.51,22.612,0.708,0.481,1.189,"NGC7457","S0",10.6,1.09162,1
2469.36,3388.22,22.249,0.804,0.456,1.26,"NGC7457","S0",10.6,1.42263,1
1749.39,3399.24,23.01,0.681,0.533,1.214,"NGC7457","S0",10.6,0.86771,1
2243.53,3407.59,22.006,0.849,0.525,1.374,"NGC7457","S0",10.6,1.03302,1
2089.41,3417.61,22.097,0.784,0.523,1.307,"NGC7457","S0",10.6,0.852346,1
2169.63,3439.44,23.832,0.658,0.554,1.212,"NGC7457","S0",10.6,0.986239,0
483.4,3447.75,23.106,0.678,0.515,1.193,"NGC7457","S0",10.6,3.52798,1
3004.16,3448.88,24.258,0.799,0.4,1.199,"NGC7457","S0",10.6,2.62794,0
2366.09,3465.29,23.419,0.864,0.493,1.357,"NGC7457","S0",10.6,1.33287,0
872.82,3545.26,20.388,0.776,0.498,1.274,"NGC7457","S0",10.6,2.73328,1
2451.12,3551.27,23.988,0.781,0.441,1.222,"NGC7457","S0",10.6,1.61605,0
2948.38,3575.55,20.925,0.698,0.431,1.129,"NGC7457","S0",10.6,2.62103,1
1801.29,3657.15,23.817,0.649,0.506,1.155,"NGC7457","S0",10.6,1.38377,0
2581.66,3680.05,23.284,0.743,0.55,1.293,"NGC7457","S0",10.6,2.04584,0
