bx,by,V,BV,VR,BR,galaxy_name,host_galaxy_group_type,host_galaxy_mass,galcen_radius
"2,388.55","2,650.06",23.594,0.629,0.544,1.173,NGC 7339,Spiral,10.7,3.24349
"1,520.38","2,763.73",23.539,0.806,0.495,1.301,NGC 7339,Spiral,10.7,1.2843
374.21,"3,251.74",20.867,0.58,0.353,0.933,NGC 7339,Spiral,10.7,2.18526
590.25,"3,285.31",23.065,0.619,0.352,0.971,NGC 7339,Spiral,10.7,1.94435
387.25,"3,344.34",21.252,0.6,0.369,0.969,NGC 7339,Spiral,10.7,2.32942
349.78,"3,539.59",22.875,0.797,0.393,1.19,NGC 7339,Spiral,10.7,2.7498
"1,774.2","3,601.68",23.317,0.662,0.508,1.17,NGC 7339,Spiral,10.7,3.01396
742.45,"3,885.37",21.661,0.611,0.364,0.975,NGC 7339,Spiral,10.7,3.14688
571.67,"3,896.97",21.439,0.58,0.352,0.932,NGC 7339,Spiral,10.7,3.27599
"1,724.54","4,075.44",21.89,0.717,0.546,1.263,NGC 7339,Spiral,10.7,3.90959
"1,414.3",31.58,23.155,0.734,0.506,1.24,NGC 7332,S0,11.1,7.9051
"3,188.03",93.23,23.231,0.928,0.653,1.581,NGC 7332,S0,11.1,6.52792
"2,519.97",109.23,22.951,0.911,0.597,1.508,NGC 7332,S0,11.1,6.69518
"3,225.07",222.4,20.287,0.613,0.391,1.004,NGC 7332,S0,11.1,6.22479
"3,538.13",562.89,20.832,0.875,0.546,1.421,NGC 7332,S0,11.1,5.47781
"3,947.53",667.35,20.927,0.865,0.554,1.419,NGC 7332,S0,11.1,5.45567
"2,587.14",677.51,22.725,0.729,0.477,1.206,NGC 7332,S0,11.1,5.36832
36.41,820.67,21.225,0.561,0.393,0.954,NGC 7332,S0,11.1,8.89394
"3,320.26",985.7,20.828,0.744,0.447,1.191,NGC 7332,S0,11.1,4.44233
551.91,"1,021.36",22.027,0.735,0.38,1.115,NGC 7332,S0,11.1,7.62677
