name,group_type,type,S_N,S_N_err,ra,dec,distance,distance_err,dmod,dmod_err,M_V,M_V_err,T,T_err,N_GC,N_GC_err,environment,density,F_blue,T_blue,Extent,Extent_err,id,Source,mass,mass_err,oursurvey,M_BH,name2,sig_e,sig_e_err,R_e,R_e_err,Mdyn,Mdyn_err,m_K,m_K_err,M_K,M_K_err
NGC4267,S0,SB0,1.51,0.14,NA,NA,16.3,0.5,31.1,0.1,-20.19,0.2,5.5,1.4,179,17,Virgo,NA,0.47,2.6,NA,NA,NA,Pe08,10.51,0.09,Other studies,NA,,164.7,5.3,3.18,0.11,10.90,0.04,7.84,0.02,-23.22,0.06
NGC4459,S0,S0,1,0.13,187.2501083,13.9785806,16.01,0.55,31.0,0.1,-20.85,0.2,1.53,0.2,218,28,Virgo,4.06,0.52,0.8,NA,NA,41,Pe08,11.15,0.08,Other studies,7.8451,NGC4459,167,8,3.09,0.11,10.90,0.06,7.15,0.01,-23.87,0.08
NGC4452,S0,S0,1.23,0.2,NA,NA,14.9,0.5,30.9,0.1,-19.07,0.2,6.5,2.9,52,9,Virgo,NA,0.92,6,NA,NA,NA,Pe08,9.91,0.152849575826281,Other studies,NA,,268.8,28.7,2.94,0.2,11.29,0.12,9.07,0.03,-21.79,0.08
NGC4435,S0,SB0,2.27,0.53,NA,NA,16.5,0.5,31.1,0.1,-20.45,0.2,25.9,18.6,345,80,Virgo,NA,0.75,19.4,NA,NA,NA,Pe08,10.12,0.23,Other studies,NA,,156.7,5.8,2.94,0.09,10.83,0.04,7.30,0.02,-23.79,0.07
NGC4371,S0,SB0,1.34,0.27,NA,NA,NA,NA,31.1,0.1,-20.44,0.2,4.4,1.3,200,41,Virgo,NA,0.65,2.9,NA,NA,NA,Pe08,10.65,0.09,Other studies,NA,,137.1,2.6,2.77,0.08,10.68,0.03,7.72,0.02,-23.41,0.14
NGC4340,S0,SB0,0.5,0.18,NA,NA,NA,NA,31.2,0.1,-19.88,0.43,2,0.8,45,16,Virgo,NA,0.85,1.7,NA,NA,NA,Pe08,10.36,0.07,Other studies,NA,,116.3,3,2.75,0.4,10.54,0.08,8.32,0.02,-22.88,0.10
NGC4278,E,E1-E2,6,1.2,NA,NA,NA,NA,31.0,0.2,-20.9,0.2,7,1,1378,194,Group,NA,0.7,4.6,40,10,NA,Sluggs,11.3,0.1,Other studies,NA,,237.2,5.2,2.68,0.26,11.14,0.06,7.18,0.01,-23.85,0.20
NGC4578,S0,SA0,0.87,0.18,NA,NA,NA,NA,31.3,0.1,-19.63,0.2,3.1,1,62,13,Virgo,NA,0.64,2,NA,NA,NA,Pe08,10.31,0.1,Other studies,NA,,120.3,9.6,2.46,0.08,10.52,0.08,8.40,0.03,-22.94,0.13
NGC4612,S0,SAB0,1.11,0.34,NA,NA,NA,NA,31.1,0.1,-19.68,0.2,5,1.9,83,25,Virgo,NA,0.69,3.5,NA,NA,NA,Pe08,10.22,0.09,Other studies,NA,,62.6,2.7,2.3,0.07,9.92,0.05,8.56,0.03,-22.51,0.14
NGC4623,S0,SB0,2.02,0.4,NA,NA,NA,NA,31.2,0.1,-18.87,0.2,6.6,2.1,71,14,Virgo,NA,0.82,5.4,NA,NA,NA,Pe08,10.03,0.1,Other studies,NA,,85.6,15.1,2.16,0.07,10.17,0.15,9.47,0.04,-21.70,0.14
NGC4482,E,E,1.51,0.33,NA,NA,NA,NA,31.3,0.1,-18.42,0.2,7.2,2.9,35,8,Virgo,NA,0.83,6,NA,NA,NA,Pe08,9.69,0.13,Other studies,NA,,40.3,4.8,2.14,0.07,9.51,0.11,10.58,0.08,-20.70,0.16
NGC4474,S0,S0pec,2.05,0.42,NA,NA,NA,NA,30.7,0.1,-19.38,0.2,7.6,2.2,116,24,Virgo,NA,0.65,4.9,NA,NA,NA,Pe08,10.18,0.08,Other studies,NA,,87.7,4,2.09,0.08,10.17,0.06,8.70,0.02,-22.04,0.12
NGC4350,S0,S0,1.77,0.54,185.9908917,16.6933556,15.5,0.78,31.0,0.1,-20.11,0.2,2.73,0.83,196,60,Virgo,2.72,0.71,1.94,NA,NA,40,Pe08,10.86,0.08,Other studies,8.74036,NGC4350,180.5,7.2,2.05,0.1,10.79,0.05,7.82,0.01,-23.14,0.11
NGC4352,S0,SA0,3.53,0.38,NA,NA,NA,NA,31.3,0.1,-18.78,0.2,12,3.5,114,12,Virgo,NA,0.82,9.8,NA,NA,NA,Pe08,9.98,0.1,Other studies,NA,,69.8,5.9,2,0.01,9.96,0.07,9.87,0.05,-21.45,0.15
NGC4479,S0,SB0,2.02,0.32,NA,NA,NA,NA,31.2,0.1,-18.65,0.2,6.5,1.6,59,9,Virgo,NA,0.77,5,NA,NA,NA,Pe08,9.96,0.08,Other studies,NA,,83.3,3.7,1.94,0.07,10.10,0.05,9.77,0.03,-21.43,0.07
NGC4570,S0,S0,1.09,0.18,NA,NA,NA,NA,31.2,0.1,-20.26,0.2,4.1,1,139,23,Virgo,NA,0.64,2.6,NA,NA,NA,Pe08,10.53,0.08,Other studies,NA,,187.9,8.5,1.92,0.06,10.80,0.05,7.69,0.01,-23.46,0.12
NGC4476,S0,SA0,0.52,0.19,NA,NA,NA,NA,31.2,0.1,-18.98,0.2,5.5,3.6,20,7,Virgo,NA,0.94,5.2,NA,NA,NA,Pe08,9.57,0.19,Other studies,NA,,59.8,6,1.88,0.07,9.79,0.10,9.47,0.02,-21.76,0.14
NGC4564,E,E6,2.25,0.33,189.112475,11.4393194,15.87,0.53,31.0,0.1,-19.9,0.2,2.63,0.38,213,31,Virgo,4.09,0.57,1.63,NA,NA,33,Pe08,10.91,0.08,Other studies,7.80618,NGC4564,162,8,1.78,0.06,10.64,0.06,7.94,0.02,-23.07,0.08
NGC4442,S0,SB0,1.06,0.18,NA,NA,NA,NA,30.9,0.1,-20.56,0.2,3.4,0.8,178,30,Virgo,NA,1,3.4,NA,NA,NA,Pe08,10.72,0.07,Other studies,NA,,186.7,8.6,1.74,0.06,10.75,0.05,7.29,0.02,-23.63,0.12
