Galaxy,Type,N_GC,N_GC_err,M_K,sig_e,R_e,,
UGC-9958,E,27000,13000,-26.393,295.2,37.1,,
A2124-1,E,17900,4700,-26.692,303.5,9,,
A2147-1,E,13100,3300,-25.706,277.7,23.36,,
NGC6039,E/S0,5030,300,-25.266,202,12.32,,
A2152-1,E,7800,2060,-25.716,304.2,2.35,,
NGC6086,E,9200,2500,-25.729,334.4,16.23,,
NGC6166,E,17000,4000,-26.412,308.2,30.06,,
NGC6173,E,4600,2600,-26.137,277.8,16.31,,
NGC6384,Spiral,60,13,-24.586,128.3,12.49,,
NGC6703,E/S0,610,200,-23.913,178.5,2.88,,
NGC6861,E/S0,1860,600,-24.551,414,2.64,,
NGC7014,E,1634,88,-24.332,294.5,5.57,,
NGC7049,S0,2700,800,-25.153,246.5,4.62,,
NGC7173,E,400,30,-23.532,203.9,4.54,,
NGC7331,Spiral,210,130,-24.895,137.2,6.22,,
NGC7332,S0,175,15,-23.811,124.9,1.64,,
IC1459,E,2100,730,-25.53,306.1,4.95,,
NGC7457,S0,160,50,-22.436,67,2.06,,
NGC7626,E,2833,300,-25.374,271.3,8.89,,
NGC7720,E,18000,4600,-26.225,359.1,18.53,,
NGC7727,Spiral,850,320,-23.933,196.1,7.46,,
NGC7768,E,3000,1300,-25.927,312.8,15.22,,
