_RAJ2000	_DEJ2000	r_Name	Name	Vmag	B-V	B-R	Rad	HRV	e_HRV
190.00704	-11.66049	RZ 	2769	22.27	 0.99	 1.54	 2.31	 1384.0	 27.0
190.00704	-11.58992	RZ 	2770	21.04	 0.66	 1.15	 2.06	 1403.0	 30.0
190.00650	-11.86972	RZ 	2775	19.59	 0.67	 1.07	14.81	  370.0	 27.0
190.00654	-11.65105	RZ 	2777	20.95	 0.87	 1.43	 1.76	 1045.0	  7.0
190.00579	-11.68114	RZ 	2790	22.29	 0.81	 1.38	 3.52	  898.0	 20.0
190.00525	-11.66881	RZ 	2796	21.35	 0.66	 1.10	 2.78	 1115.0	 19.0
190.00508	-11.52158	RZ 	2803	19.95	 0.51	 0.85	 6.10	  178.0	 47.0
190.00292	-11.58877	RZ 	2828	20.55	 0.73	 1.23	 2.08	 1283.0	 45.0
190.00267	-11.70665	RZ 	2829	23.72	 1.20	 1.86	 5.02	  958.0	 32.0
190.00275	-11.73597	RZ 	2830	21.59	 0.68	 1.14	 6.78	 1476.0	 16.0
190.00246	-11.74888	RZ 	2832	19.77	 0.92	 1.51	 7.55	 1121.8	  5.4
190.00221	-11.66462	RZ 	2835	21.29	 0.68	 1.21	 2.51	 1400.0	 13.0
190.00162	-11.70735	RZ 	2844	19.51	 0.54	 0.93	 5.06	   -0.2	 11.9
190.00162	-11.65151	RZ 	2847	22.19	 0.95	 1.60	 1.72	 1278.0	 18.0
190.00129	-11.80825	RZ 	2849	21.07	 0.80	 1.28	11.11	  369.0	 49.0
190.00054	-11.91790	RZ 	2855	20.38	 0.56	 0.92	17.69	  211.0	 82.0
190.00087	-11.49863	RZ 	2857	20.39	 0.70	 1.15	 7.47	 1383.3	  8.8
190.00071	-11.59211	RZ 	2860	21.40	 0.93	 1.54	 1.87	  999.7	 23.5
190.00046	-11.74019	RZ 	2862	21.49	 0.58	 1.06	 7.03	 1109.0	 22.0
190.00067	-11.54103	RZ 	2863	19.36	 0.83	 1.39	 4.92	 1277.5	  6.2
190.00017	-11.59267	RZ 	2869	21.67	 0.72	 1.16	 1.83	 1190.0	 14.0
189.99962	-11.78192	RZ 	2871	20.06	 0.95	 1.61	 9.53	   17.4	 10.4
189.99925	-11.58183	RZ 	2877	20.89	 0.59	 1.08	 2.48	  616.0	 34.0
189.99900	-11.59142	RZ 	2883	21.88	 0.81	 1.36	 1.90	 1508.0	 12.0
189.99879	-11.59027	RZ 	2885	21.14	 0.83	 1.39	 1.97	 1257.0	 18.0
190.27700	-11.53888	RZ 	 290	20.88	 0.98	 1.64	17.18	   39.7	 32.3
189.99571	-11.59559	RZ 	2915	21.40	 0.71	 1.19	 1.65	  555.0	 16.0
189.99562	-11.58962	RZ 	2916	19.53	 0.73	 1.26	 2.01	 1034.3	  7.6
190.27646	-11.33224	RZ 	 293	19.34	 0.73	 1.17	23.95	  143.0	 22.0
189.99429	-11.70913	RZ 	2931	19.61	 0.59	 1.02	 5.17	   -7.0	 38.0
189.99287	-11.55502	RZ 	2953	21.12	 0.69	 1.17	 4.09	 1259.0	 17.0
189.99187	-11.59190	RZ 	2967	21.66	 0.65	 1.10	 1.90	 1144.0	  9.0
189.99183	-11.57410	RZ 	2968	20.28	 0.92	 1.50	 2.96	  969.1	 10.5
189.99008	-11.68753	RZ 	2980	22.06	 1.00	 1.69	 3.89	 1240.0	 16.0
189.99008	-11.52362	RZ 	2985	19.28	 0.92	 1.51	 5.98	 1277.6	 28.0
189.98954	-11.58452	RZ 	2996	21.17	 0.61	 1.05	 2.36	 1101.0	 16.0
189.98712	-11.33986	RZ 	3017	20.25	 0.60	 1.05	17.00	 1135.2	 23.4
189.98683	-11.58712	RZ 	3020	20.96	 0.84	 1.42	 2.25	  951.0	 10.0
189.98629	-11.54784	RZ 	3026	22.03	 0.88	 1.48	 4.56	  885.0	 25.0
189.98608	-11.70907	RZ 	3027	22.58	 0.59	 1.07	 5.21	 1183.0	 19.0
189.98596	-11.66548	RZ 	3029	22.11	 0.59	 1.00	 2.64	 1166.0	 21.0
189.98421	-11.76921	RZ 	3043	20.31	 0.65	 1.11	 8.80	  856.8	 55.3
189.98333	-11.69190	RZ 	3057	22.07	 0.66	 1.18	 4.22	  878.0	 27.0
189.98287	-11.70798	RZ 	3058	21.47	 0.66	 1.12	 5.17	 1040.0	  8.0
189.98267	-11.58011	RZ 	3061	19.46	 1.00	 1.61	 2.72	 1003.4	  6.3
