"V","BR","90percent","galcen_radius","galcen_ratio"
21.825,1.163,1,5.81717,0.437381
22.735,1.101,0,7.3282,0.550992
22.013,1.128,0,13.3578,1.00434
22.682,1.145,1,5.05926,0.380396
23.373,0.895,0,13.0412,0.980538
22.587,1.176,1,4.90896,0.369095
23.176,1.022,0,5.74911,0.432264
22.592,1.106,1,7.58675,0.570432
22.567,1.288,1,4.80172,0.361032
23.002,1.044,0,12.9185,0.971312
22.274,1.216,0,18.9589,1.42548
23.111,1.381,0,4.68652,0.35237
23.047,1.334,0,5.33916,0.401441
22.947,1.053,0,7.13891,0.53676
23.141,1.472,0,5.74896,0.432253
23.388,1.116,0,7.8154,0.587624
22.008,1.544,1,12.4225,0.934026
21.415,1.13,1,5.38457,0.404855
22.303,1.4,1,4.56414,0.343169
22.886,0.933,0,4.71324,0.354379
23.121,1.093,0,7.91455,0.595079
23.214,1.268,0,17.5029,1.31601
23.256,1.052,0,5.05486,0.380065
23,1.185,0,12.4934,0.939354
22.681,1.475,1,8.70908,0.654818
23.339,1.106,0,4.63659,0.348616
22.522,1.361,1,4.53095,0.340673
23.457,1.165,0,4.62542,0.347776
23.336,1.309,0,5.06583,0.38089
21.703,1.1,0,17.2683,1.29837
23.327,1.38,0,16.3255,1.22748
22.753,1.072,1,11.6122,0.8731
22.048,1.199,1,5.94994,0.447364
23.131,1.315,0,7.19403,0.540905
23.107,0.89,0,7.5739,0.569466
21.111,1.635,0,14.5686,1.09539
22.639,1.073,0,14.1348,1.06277
23.199,1.283,0,9.23163,0.694107
23.133,1.044,0,13.8597,1.04209
23.302,0.996,0,4.25205,0.319703
23.154,1.297,0,10.6898,0.803745
23.145,1.341,0,5.20808,0.391585
22.527,1.435,1,4.00017,0.300765
23.28,1.257,0,3.96372,0.298024
22.398,0.99,1,4.08901,0.307444
23.446,1.65,0,4.18065,0.314335
22.109,1.017,1,7.91854,0.595379
22.839,1.399,1,5.62353,0.422822
23.299,1.743,0,15.1163,1.13657
23.29,1.069,0,6.75623,0.507988
22.213,1.517,1,8.05388,0.605555
22.713,1.603,1,10.1765,0.765153
23.03,1.687,0,9.42719,0.708811
23.308,1.186,0,3.57054,0.268462
21.374,1.09,0,13.7393,1.03303
23.412,1.395,0,3.51398,0.264209
23.358,1.099,0,7.26696,0.546388
23.125,1.012,0,3.44711,0.259182
21.855,1.24,1,8.12564,0.610951
23.41,1.623,0,7.44207,0.559554
23.208,1.514,0,9.01664,0.677943
22.324,1.314,1,6.51676,0.489982
23.378,1.332,0,8.8055,0.662068
22.502,1.068,1,8.51729,0.640398
23.165,1.037,0,9.4865,0.71327
22.937,0.922,0,13.7676,1.03516
22.758,1.312,1,7.74582,0.582393
22.526,1.164,1,3.41782,0.256979
23.092,1.533,0,4.55929,0.342804
22.384,1.594,1,5.82452,0.437934
22.518,1.339,1,3.6253,0.272579
23.428,0.988,0,3.40581,0.256076
22.266,1.089,0,16.496,1.2403
22.15,1.404,1,3.21179,0.241488
22.513,1.217,1,3.85902,0.290152
23.238,1.39,0,12.2155,0.918455
23.482,1.011,0,6.89367,0.518321
22.819,1.308,1,4.38573,0.329754
23.118,1.113,0,16.5667,1.24562
23.284,1.234,0,9.61451,0.722895
22.861,1.165,0,5.97514,0.449259
22.786,1.13,0,3.71844,0.279582
23.177,1.127,0,3.61297,0.271652
22.38,1.336,1,7.78583,0.585401
23.467,0.824,0,10.844,0.81534
22.934,1.119,0,4.72963,0.355611
22.777,1.174,1,5.0234,0.377699
23.301,0.929,0,15.5713,1.17078
21.823,1.282,1,3.02761,0.22764
23.484,1.193,0,3.07201,0.230979
22.695,1.201,1,7.90242,0.594167
22.671,1.222,1,4.29343,0.322814
22.316,1.049,1,4.38002,0.329324
21.76,1.337,1,3.39075,0.254943
23.105,1.564,0,2.9871,0.224594
23.155,1.314,0,4.33436,0.325892
21.072,1.133,1,4.84169,0.364037
21.469,1.214,1,5.29956,0.398463
23.061,1.128,0,4.71156,0.354253
23.366,1.174,0,4.07112,0.306099
22.132,1.066,1,6.64596,0.499696
23.025,1.548,0,14.7443,1.1086
23.378,1.563,0,2.88099,0.216616
22.968,1.587,0,3.31771,0.249452
23.024,1.212,0,10.6506,0.800797
23.225,1.395,0,3.45212,0.259558
23.254,1.29,0,11.6753,0.877839
23.358,1.285,0,13.0553,0.981601
22.592,0.925,1,5.03116,0.378283
23.315,1.133,0,5.96995,0.448869
22.441,1.24,1,2.75095,0.206838
23.218,1.358,0,14.5048,1.09059
23.381,1.327,0,4.03055,0.303049
22.035,1.353,1,6.88451,0.517632
22.376,1.407,1,5.48482,0.412392
22.914,1.159,0,3.27126,0.24596
22.597,1.225,1,3.20624,0.241071
23.227,1.427,0,12.4258,0.934273
22.312,1.17,1,4.07001,0.306016
22.493,1.026,0,12.7233,0.956639
23.098,1.559,0,11.4013,0.857239
