Galaxy,type,M_V,M_V_err,M_K,M_K_err,mass,,massdiff,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,,Galaxy,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source,SN_calc,T_calc,SN_diff,T_diff
NGC 0821,E6,-21.1,0.2,-23.9,0.1,11.33,11.38,0.05,0.08,31.8,0.1,0.08,5.64,0.30,209,10,7.57,0.09,0.23,9999.00,NGC821,320,45,1.3,0.2,1.49,0.21,0.7,1.04,26,5,Sp08,1.1,1.33,0.2,0.16
NGC 4564,E6,-19.8,0.2,-23.1,0.1,10.91,10.86,0.05,0.08,31.0,0.1,4.09,1.78,0.06,162,8,7.78,0.08,0.01,9999.00,NGC4564,213,31,2.25,0.33,2.63,0.38,0.57,1.63,NA,NA,Pe08,2.5,2.94,-0.264082953938183,-0.31
Milky Way,Sbc,-21.3,0.3,9999.0,9999.0,11.20,11.15,0.05,0.10,14.6,9999.0,9999.00,0.70,0.10,105,20,6.63,0.04,0.04,9999.00,Galaxy,160,20,0.5,0.1,1.1,0.1,0.7,0.8,NA,NA,AZ98,0.5,1.13,0.0,-0.0301861433342576
NGC 5813,E1,-22.1,0.2,-25.1,0.2,11.80,11.76,0.04,0.10,32.5,0.2,0.88,8.93,0.77,237,3,8.83,0.07,0.04,9999.00,NGC5813,2890,394,3.6,0.8,4.2,0.9,0.68,2.8,121,14,H12,4.3,5.07,-0.7,-0.868714650322687
NGC 4459,S0,-20.8,0.2,-23.9,0.1,11.15,11.11,0.04,0.08,31.0,0.1,4.06,3.09,0.11,167,8,7.83,0.09,0.07,9999.00,NGC4459,218,28,1,0.13,1.53,0.2,0.52,0.8,NA,NA,Pe08,1.1,1.68,-0.1,-0.15
NGC 4406,E3,-22.3,0.2,-25.1,0.1,11.90,11.86,0.04,0.10,31.2,0.1,1.41,12.69,0.39,235,3,9999.00,9999.00,9999.00,9999.00,NGC4406,2900,400,3.5,0.5,4.1,0.6,0.62,2.5,83,6,R04,3.4,3.97,0.1,0.133586405772028
NGC 0891,Sb,-20.8,0.2,-23.7,0.2,11.00,11.03,0.03,0.08,29.6,0.1,0.55,5.43,0.36,73,10,9999.00,9999.00,9999.00,9999.00,NGC891,70,20,0.3,0.1,0.6,0.3,0.5,0.3,9,3,R10,0.3,0.65,-0.0,-0.0482883317518235
NGC 4374,E1,-22.3,0.2,-25.1,0.1,11.80,11.83,0.03,0.10,31.3,0.1,3.99,5.46,0.18,296,14,8.95,0.04,0.04,9999.00,NGC4374,2800,200,3.5,0.5,4.1,0.6,0.59,2.4,83,20,in Prep,3.5,4.12,-0.0,-0.0224750068116233
NGC 1023,SB0,-21.1,0.2,-24.1,0.2,11.30,11.27,0.03,0.10,30.3,0.2,0.57,2.19,0.15,209,10,7.62,0.05,0.04,9999.00,NGC1023,490,30,1.7,0.3,2.7,0.4,0.57,1.5,20.8,3,Y12,1.7,2.64,-0.0,0.0613457464775613
NGC 0720,E5,-21.7,0.4,-24.9,0.2,11.60,11.63,0.03,0.20,32.2,0.2,0.25,4.84,0.39,241,7,9999.00,9999.00,9999.00,9999.00,NGC720,1489,96,3.2,0.2,3.7,0.2,0.6,NA,68,6,Sluggs,3.0,3.51,0.2,0.193331616278843
NGC 4425,SB0,-19.4,0.2,-22.1,0.7,10.60,10.57,0.03,0.10,31.1,0.6,3.44,1.95,0.90,76,6,9999.00,9999.00,9999.00,9999.00,NGC4425,90,10,1.6,0.5,2.5,0.8,NA,NA,10,2,In Prep,1.6,2.41,0.0,0.0932614344176232
NGC 4594,S0,-22.4,0.2,-25.0,0.2,11.80,11.77,0.03,0.10,29.9,0.2,0.32,3.41,0.29,240,12,8.81,0.32,0.29,9999.00,NGC4594,1890,200,2.1,0.3,3.2,0.5,0.63,2,54,5,R04,2.1,3.19,0.0,0.0110463141843637
NGC 7814,Sab,-20.4,0.3,-23.5,0.2,10.90,10.88,0.02,0.10,30.6,0.1,0.12,2.84,0.19,169,7,9999.00,9999.00,9999.00,9999.00,NGC7814,165,25,1.3,0.4,2.2,0.8,0.58,1.3,13,4,RZ03,1.1,2.19,0.2,0.0114619120584685
NGC 3379,E1,-20.9,0.2,-23.8,0.1,11.30,11.28,0.02,0.10,30.0,0.1,0.52,1.79,0.14,206,10,8.60,0.13,0.10,9999.00,NGC3379,270,30,1.2,0.3,1.4,0.3,0.7,1,34,4,R04,1.2,1.40,-0.0,-0.00398919064049097
NGC 4387,E5,-19.6,0.2,-22.1,0.1,10.80,10.78,0.02,0.10,31.3,0.1,3.62,1.27,0.04,105,3,9999.00,9999.00,9999.00,9999.00,NGC4387,41,9,0.6,0.3,0.6,0.3,NA,NA,5.5,1,In Prep,0.6,0.67,0.0,-0.0741924065181209
NGC 4278,E1-E2,-21.0,0.2,-23.9,0.2,11.30,11.32,0.02,0.10,31.0,0.2,1.28,2.68,0.26,237,5,9999.00,9999.00,9999.00,9999.00,NGC4278,1378,194,6,1.2,7,1,0.7,4.6,40,10,Sluggs,5.7,6.66,0.3,0.34
NGC 3556,Sc,-21.2,0.2,-23.4,0.2,11.10,11.11,0.01,0.10,30.5,0.2,0.15,5.24,0.40,79,10,9999.00,9999.00,9999.00,9999.00,NGC3556,290,80,0.9,0.4,2.2,0.9,0.64,1.4,20,4,R07,1.0,2.23,-0.1,-0.0255020238552151
NGC 3585,E6,-21.8,0.2,-24.9,0.2,11.65,11.64,0.01,0.09,31.6,0.2,0.12,4.27,0.37,213,10,8.49,0.10,0.17,9999.00,NGC3585,550,165,1,0.31,1.23,0.37,NA,NA,42,6.48074069840786,La12,1.1,1.27,-0.1,-0.04
NGC 7332,S0pec,-20.8,0.3,-23.8,0.2,11.10,11.11,0.01,0.10,31.8,0.2,0.12,1.64,0.16,125,3,7.11,0.17,0.17,9999.00,NGC7332,175,15,0.9,0.3,1.4,0.4,0.57,0.8,13.1,3.1,Y12,0.9,1.35,0.0,0.0503397527637475
NGC 5866,SA0,-20.9,0.2,-24.1,0.1,11.20,11.19,0.01,0.10,30.9,0.1,0.24,3.01,0.17,159,10,9999.00,9999.00,9999.00,9999.00,NGC5866,340,80,1.3,0.4,1.9,0.5,0.74,1.6,44,11,H12,1.4,2.20,-0.1,-0.301229501732799
NGC 4754,SB0,-20.7,0.2,-23.6,0.1,11.10,11.09,0.01,0.10,31.0,0.1,2.62,2.26,0.10,186,3,9999.00,9999.00,9999.00,9999.00,NGC4754,115,15,0.6,0.1,0.9,0.2,0.4,0.4,15,4,H12,0.6,0.93,-0.0,-0.0287188236046233
M 31,Sb,-21.7,0.2,-23.5,0.1,11.40,11.41,0.01,0.10,24.5,0.1,9999.00,4.66,0.12,160,8,8.15,0.10,0.22,9999.00,M31,450,100,0.9,0.2,1.6,0.4,0.72,1.2,NA,NA,AZ98,0.9,1.77,-0.0,-0.169630841899627
NGC 2683,SAb,-20.5,0.5,-23.1,0.4,10.90,10.91,0.01,0.20,29.4,0.4,0.09,2.09,0.38,118,9,9999.00,9999.00,9999.00,9999.00,NGC2683,120,40,0.8,0.4,1.4,0.7,0.68,0.9,9,3,R07,0.8,1.49,0.0,-0.0922837541557737
NGC 3115,S0,-21.1,0.2,-24.1,0.1,11.26,11.26,0.00,0.08,30.0,0.1,0.08,1.51,0.06,230,11,8.96,0.17,0.32,9999.00,NGC3115,122,30,0.78,0.24,1.21,0.36,0.59,0.73,NA,NA,Fa11,0.4,0.66,0.349116532853813,0.55
NGC 3384,SB0,-20.5,0.2,-23.6,0.1,11.00,11.00,0.00,0.08,30.3,0.1,0.54,1.40,0.09,143,7,7.23,0.06,0.02,9999.00,NGC3384,120,30,0.8,0.2,1.2,0.4,0.6,0.7,17,4,H12,0.8,1.19,0.0,0.0132270094449403
NGC 4382,S0,-22.2,0.2,-25.2,0.1,11.70,11.70,0.00,0.08,31.3,0.1,0.50,7.48,0.23,179,5,9999.00,9999.00,9999.00,9999.00,NGC4382,3000,200,3.8,0.7,5.9,1.1,0.45,1.2,110,12,in Prep,3.9,5.97,-0.1,-0.0745838754061046
NGC 1172,E,-19.9,0.2,-22.5,0.3,10.89,10.89,0.00,0.08,31.7,0.3,0.28,4.02,0.39,112,4,9999.00,9999.00,9999.00,9999.00,NGC1172,480,50,5.2,1,6.1,1.2,0.56,3.5,21.6,4,in Prep,5.3,6.16,-0.1,-0.0551867967489112
NGC 4621,E5,-21.7,0.2,-24.6,0.0,11.61,11.61,0.00,0.08,31.3,0.1,2.60,4.57,0.15,225,3,8.60,0.06,0.06,9999.00,NGC4621,1750,100,3.7,0.6,4.3,0.7,NA,NA,76,10,in Prep,3.7,4.28,0.0,0.0239965327855503
NGC 4649,E2,-22.4,0.2,-25.4,0.1,11.88,11.88,0.00,0.08,31.1,0.1,3.49,7.12,0.25,385,19,9.68,0.11,0.07,9999.00,NGC4649,4200,400,4.7,0.7,5.5,0.8,0.84,4.62,94,25,in Prep,4.7,5.49,0.0,0.0140822698462699
NGC 5846,E0,-22.0,0.2,-25.0,0.1,11.74,11.74,0.00,0.08,32.0,0.1,0.84,7.56,0.73,239,4,9.04,0.07,0.03,9999.00,NGC5846,3100,150,4.8,1.5,5.6,1.7,0.35,2,96.3,17.2,in Prep,4.8,5.59,0.0,0.0106450033353322
NGC 4318,E,-18.8,0.2,-21.4,0.1,9.70,10.45,0.75,0.13,31.7,0.1,1.47,0.77,0.02,95,4,9999.00,9999.00,9999.00,9999.00,NGC4318,18,6,0.77,0.26,3.6,1.7,0.79,2.8,NA,NA,Pe08,0.5,0.64,0.226408690327638,2.96427029437448
NGC 4482,E,-18.4,0.2,-20.7,0.2,9.69,10.29,0.60,0.13,31.3,0.1,9999.00,2.14,0.07,40,5,9999.00,9999.00,9999.00,9999.00,NGC4482,35,8,1.51,0.33,7.2,2.9,0.83,6,NA,NA,Pe08,1.5,1.79,-0.0178054128405829,5.41323250008607
NGC 4515,S0,-18.6,0.2,-21.1,0.1,9.89,10.25,0.36,0.08,31.0,0.1,9999.00,0.84,0.03,86,3,9999.00,9999.00,9999.00,9999.00,NGC4515,81,10,3.05,0.4,10.5,2.5,0.96,10.1,NA,NA,Pe08,2.9,4.53,0.109067756362183,5.9744493842564
NGC 4612,SAB0,-19.7,0.2,-22.5,0.1,10.22,10.69,0.47,0.09,31.1,0.1,2.66,2.30,0.07,63,3,9999.00,9999.00,9999.00,9999.00,NGC4612,83,25,1.11,0.34,5,1.9,0.69,3.5,NA,NA,Pe08,1.1,1.68,0.0158469069981819,3.32
NGC 4623,SB0,-18.9,0.2,-21.7,0.1,10.03,10.37,0.34,0.10,31.2,0.1,2.36,2.16,0.07,86,15,9999.00,9999.00,9999.00,9999.00,NGC4623,71,14,2.02,0.4,6.6,2.1,0.82,5.4,NA,NA,Pe08,2.0,3.01,0.0644976206299002,3.59084362919573
