Galaxy,type,Type,M_V,M_V_err,M_K,M_K_err,mass,mass_err,dmod,dmod_err,density,R_e,R_e_err,sig_e,sig_e_err,lg_M_B,lg_M_B_err_low,lg_M_B_err_high,N_GC,N_GC_err,S_N,S_N_err,T,T_err,F_blue,T_blue,Extent,Extent_err,Source
NGC 4013,Sb,Spiral,-20.5,0.3,-23.3,0.2,10.81,0.10,30.9,0.2,1.34,3.42,0.30,87,9,9999.00,9999.00,9999.00,140,20,1,0.2,1.9,0.5,0.74,1.4,14,5,R10
NGC 0891,Sb,Spiral,-20.8,0.2,-23.7,0.2,11.03,0.08,29.6,0.1,0.55,5.43,0.36,73,10,9999.00,9999.00,9999.00,70,20,0.3,0.1,0.6,0.3,0.5,0.3,9,3,R10
NGC 3556,Sc,Spiral,-21.2,0.2,-23.4,0.2,11.11,0.10,30.5,0.2,0.15,5.24,0.40,79,10,9999.00,9999.00,9999.00,290,80,0.9,0.4,2.2,0.9,0.64,1.4,20,4,R07
NGC 7331,Sb,Spiral,-21.8,0.2,-24.9,0.1,11.45,0.10,30.9,0.1,0.33,6.22,0.29,137,4,9999.00,9999.00,9999.00,210,130,0.5,0.4,0.9,0.7,0.5,0.4,18,4,R07
NGC 2683,SAb,Spiral,-20.5,0.5,-23.1,0.4,10.91,0.20,29.4,0.4,0.09,2.09,0.38,118,9,9999.00,9999.00,9999.00,120,40,0.8,0.4,1.4,0.7,0.68,0.9,9,3,R07
NGC 4157,Sb,Spiral,-20.5,0.2,-23.6,0.4,10.85,0.10,30.9,0.4,1.19,2.64,0.53,90,4,9999.00,9999.00,9999.00,80,20,0.6,0.3,1.1,0.6,0.55,0.6,21,4,R07
NGC 4406,E3,E,-22.3,0.2,-25.1,0.1,11.86,0.10,31.2,0.1,1.41,12.69,0.39,235,3,9999.00,9999.00,9999.00,2900,400,3.5,0.5,4.1,0.6,0.62,2.5,83,6,R04
NGC 4594,S0,S0,-22.4,0.2,-25.0,0.2,11.77,0.10,29.9,0.2,0.32,3.41,0.29,240,12,8.81,0.32,0.29,1890,200,2.1,0.3,3.2,0.5,0.63,2,54,5,R04
NGC 3379,E1,E,-20.9,0.2,-23.8,0.1,11.28,0.10,30.0,0.1,0.52,1.79,0.14,206,10,8.60,0.13,0.10,270,30,1.2,0.3,1.4,0.3,0.7,1,34,4,R04
NGC 4350,S0,S0,-19.9,0.2,-23.1,0.1,10.77,0.08,31.0,0.1,2.72,2.05,0.10,181,7,8.74,0.10,0.10,196,60,1.77,0.54,2.73,0.22,0.71,1.94,NA,NA,Pe08
